ta_year,month,day,message,reading_volume,reading_book,reading_chapter_number,reading_chapter_title,map_y,map_x,spotify_id,image_file,image_copyright
3018,12,18,Frodo is appointed along with the Fellowship of the Ring by Elrond to take the Ring to Mordor.,The Fellowship of the Ring,2,3,The Ring Goes South,635,1547,09e3onHcCEizlM8IW0t5ff,fellowship.jpg,New Line Cinema
3018,12,19,"Frodo is preparing to leave Rivendell, and receives Sting and the mithril-coat from Bilbo.",The Fellowship of the Ring,2,3,The Ring Goes South,635,1547,389GOZHOwbW8IkPTWTppxK,sting.jpg,New Line Cinema
3018,12,25,Frodo and the Fellowship are setting forth from Rivendell.,The Fellowship of the Ring,2,3,The Ring Goes South,655,1545,7IyuoW61wH6omhg3YN84P7,departing-rivendell.jpg,New Line Cinema
3018,12,26,Frodo and the Fellowship are heading south along the Misty Mountains.,The Fellowship of the Ring,2,3,The Ring Goes South,730,1525,7IyuoW61wH6omhg3YN84P7,ring-goes-south.jpg,New Line Cinema
3019,1,8,Frodo and the Fellowship are travelling through Hollin toward the Redhorn Pass.,The Fellowship of the Ring,2,3,The Ring Goes South,855,1500,0pcBzqJOUJWxpEHO7aVB0d,hollin.jpg,New Line Cinema
3019,1,11,Frodo and the Fellowship are ascending the Redhorn Pass beneath Mount Caradhras.,The Fellowship of the Ring,2,3,The Ring Goes South,900,1550,0pcBzqJOUJWxpEHO7aVB0d,caradhras.jpg,New Line Cinema
3019,1,12,Frodo and the Fellowship are turned back from the Redhorn Pass by snowstorms.,The Fellowship of the Ring,2,3,The Ring Goes South,915,1500,0pcBzqJOUJWxpEHO7aVB0d,snow.jpg,New Line Cinema
3019,1,13,"Frodo and the Fellowship are attacked by Wolves and the Watcher in the Water, and pass through the West-gate into Moria.",The Fellowship of the Ring,2,4,A Journey in the Dark,930,1485,2cHmYju6hSMsLZjNOlxU91,moria-gate.jpg,New Line Cinema
3019,1,14,Frodo and the Fellowship are passing through the Mines of Moria and reach the Twenty-first Hall.,The Fellowship of the Ring,2,4,A Journey in the Dark,922,1523,0XLyV7JR2nqN8vz1kDQ9h5,moria-hall.jpg,New Line Cinema
3019,1,15,"Gandalf having fallen with the Balrog at the Bridge of Khazad-dûm, Frodo and the Fellowship escape Moria and meet Haldir’s Elves by the River Nimrodel.",The Fellowship of the Ring,2,5,The Bridge of Khazad-dûm,950,1575,3nfmgykmdHpX0M5dSVnMnX,dimrill.jpg,New Line Cinema
3019,1,16,Haldir is leading Frodo and the Fellowship through Lothlórien toward Caras Galadhon.,The Fellowship of the Ring,2,6,Lothlórien,985,1625,2DjjHvVoVIDlETBC7FJHT1,lothlorien.jpg,New Line Cinema
3019,1,17,Frodo and the Fellowship are welcomed into Caras Galadhon.,The Fellowship of the Ring,2,7,The Mirror of Galadriel,1010,1685,2DjjHvVoVIDlETBC7FJHT1,caras-galadhon.jpg,New Line Cinema
3019,1,18,Frodo and the Fellowship are resting in Lórien.,The Fellowship of the Ring,2,7,The Mirror of Galadriel,1010,1685,2DjjHvVoVIDlETBC7FJHT1,lorien-rest.jpg,New Line Cinema
3019,2,14,Frodo and Sam look into the Mirror of Galadriel.,The Fellowship of the Ring,2,7,The Mirror of Galadriel,1010,1685,1yh7xITx9zHUsFvgZ3Unkv,mirror-of-galadriel.jpg,New Line Cinema
3019,2,16,"Frodo and the Fellowship bid farewell to Lórien, taking boats down the Great River.",The Fellowship of the Ring,2,8,Farewell to Lórien,1036,1712,3tEW3BubSpSzJ6GoCT3cV8,farewell-to-lorien.jpg,New Line Cinema
3019,2,17,Frodo and the Fellowship are rowing down the Great River.,The Fellowship of the Ring,2,9,The Great River,1265,1870,7HZ4BValzIE8zNjUrRIEHW,anduin.jpg,New Line Cinema
3019,2,23,Frodo and the Fellowship’s boats are attacked by Orcs as they reach the rapids of Sarn Gebir.,The Fellowship of the Ring,2,9,The Great River,1418,1888,7HZ4BValzIE8zNjUrRIEHW,sarn-gebir.jpg,New Line Cinema
3019,2,25,Frodo and the Fellowship pass the Argonath and reach Parth Galen.,The Fellowship of the Ring,2,10,The Breaking of the Fellowship,1451,1898,2nxNGEPuoayvcvKOXBBgUK,argonath.jpg,New Line Cinema
3019,2,26,"The Fellowship breaks; Frodo and Sam cross to the eastern shore of the Great River, passing into the eastern Emyn Muil.",The Fellowship of the Ring,2,10,The Breaking of the Fellowship,1440,1910,4xaPCPyMiFDiw7SoksTBKo,breaking-of-the-fellowship.jpg,New Line Cinema
3019,2,27,Frodo and Sam are traversing eastward over the Emyn Muil.,The Two Towers,4,1,The Taming of Smeagol,1440,1940,1OojcYAa6qk3Jg1n3sXSiF,eastern-emyn-muil.jpg,New Line Cinema
3019,2,29,Frodo and Sam descend the Emyn Muil and encounter Gollum.,The Two Towers,4,1,The Taming of Smeagol,1440,1950,7DbCJTrxSN3EKgLuWJt4Cb,meet-gollum.jpg,New Line Cinema
3019,2,30,Gollum leads Frodo and Sam out of the Emyn Muil and into the Dead Marshes.,The Two Towers,4,2,The Passage of the Marshes,1440,1990,5rTjlOO9TlPaCalNEoMOvh,edge-of-emyn-muil.jpg,New Line Cinema
3019,3,1,Gollum is leading Frodo and Sam over the Dead Marshes.,The Two Towers,4,2,The Passage of the Marshes,1450,2050,3JOF2S1V3RXsU8SuxcfSho,dead-marshes.jpg,New Line Cinema
3019,3,4,"Frodo, Sam, and Gollum reach the slag-mounds on the edge of the Desolation of the Morannon.",The Two Towers,4,2,The Passage of the Marshes,1460,2110,4WlaNoO3LQHAJOrOdpPmTD,slag-mounds.jpg,New Line Cinema
3019,3,5,"Frod and, Sam attempt to enter Mordor by the Morannon, the Black Gate, but Gollum tells them of another way.",The Two Towers,4,3,The Black Gate is Closed,1460,2155,2v9YfAK8Cf5obcx3WFS4q7,black-gate.jpg,New Line Cinema
3019,3,6,"Frodo, Sam, and Gollum are heading south through Ithilien.",The Two Towers,4,4,Of Herbs and Stewed Rabbit,1520,2090,2DC5q7W5aikCEtvGNrklZf,ithilien.jpg,New Line Cinema
3019,3,7,Frodo and Sam are taken by Faramir to Henneth Annûn.,The Two Towers,4,5,The Window on the West,1586,2088,6XOGDy905pbkZd7yVqbUuz,henneth-annun.jpg,New Line Cinema
3019,3,8,"Frodo, Sam, and Gollum leave Henneth Annûn, heading south.",The Two Towers,4,7,Journey to the Cross-roads,1630,2095,0TpzAepHab0NofzyqV6As8,journey-to-cross-roads.jpg,New Line Cinema
3019,3,9,"Frodo, Sam, and Gollum reach the Morgul-road, and turn eastward to the Cross-roads.",The Two Towers,4,7,Journey to the Cross-roads,1676,2094,2SKCoeEzz4Kx1VdiCWzC4X,morgul-road.jpg,New Line Cinema
3019,3,10,"Frodo, Sam, and Gollum reach the Cross-roads, entering the Morgul vale.",The Two Towers,4,7,Journey to the Cross-roads,1676,2104,4XBjG0TN3iK2WKmz71GsmH,cross-roads.jpg,New Line Cinema
3019,3,11,"Frodo, Sam, and Gollum are climbing the Stairs of Cirith Ungol.",The Two Towers,4,8,The Stairs of Cirith Ungol,1662,2126,1ap3LLqOYv35dSA0KqJ0z4,stairs-of-cirith-ungol.jpg,New Line Cinema
3019,3,12,Frodo and Sam are led by Gollum into Shelob’s Lair.,The Two Towers,4,9,Shelob’s Lair,1656,2148,51Om1IzCnoRv1gLJSwQdkm,shelobs-lair.jpg,New Line Cinema
3019,3,13,"Poisoned by Shelob, Frodo is taken captive by the Orcs of Cirith Ungol.",The Two Towers,4,10,The Choices of Master Samwise,1657,2170,42sJ8y5Z3lUkmWFRdUUaUI,frodo-captured.jpg,New Line Cinema
3019,3,14,Sam rescues Frodo from the Tower of Cirith Ungol.,The Return of the King,6,,,,,6dZ3PpoPcC7wtsoshGNXDo,,New Line Cinema
3019,3,15,North from cirith ungol (look out over orc camp toward mount doom on 16th),The Return of the King,6,,,,,48ylCyEew76aaRcfSFyS9o,,New Line Cinema
3019,3,18,"Sight of Isenmouthe, but overtaken by Orcs",The Return of the King,6,,,,,48ylCyEew76aaRcfSFyS9o,,New Line Cinema
3019,3,19,"escape orcs, road to barad dur",The Return of the King,6,,,,,48ylCyEew76aaRcfSFyS9o,,New Line Cinema
3019,3,22,"leave road, turn south to mount doom",The Return of the King,6,,,,,48ylCyEew76aaRcfSFyS9o,,New Line Cinema
3019,3,23,forsake arms and gear,The Return of the King,6,,,,,48ylCyEew76aaRcfSFyS9o,,New Line Cinema
3019,3,24,feet of mount doom,The Return of the King,6,,,,,48ylCyEew76aaRcfSFyS9o,,New Line Cinema
3019,3,25,crack of doom,The Return of the King,6,,,,,3iURgkltoANXq7VMhRIGkc,,New Line Cinema
3019,3,26,Recovering,The Return of the King,6,,,,,1lIcdDpGlc2mO2LYA0f5KM,,New Line Cinema
3019,4,8,"awake, field of cormallen",The Return of the King,6,,,,,1lIcdDpGlc2mO2LYA0f5KM,,New Line Cinema
3019,4,9,???,The Return of the King,6,,,,,1lIcdDpGlc2mO2LYA0f5KM,,New Line Cinema
3019,7,19,Travelling to Edoras,The Return of the King,6,,,,,,,New Line Cinema
3019,8,7,Reach Edoras,The Return of the King,6,,,,,,,New Line Cinema
3019,8,14,Travelling to Helm’s Deep,The Return of the King,6,,,,,,,New Line Cinema
3019,8,18,Reach Helm’s Deep,The Return of the King,6,,,,,,,New Line Cinema
3019,8,19,Travelling to Isengard,The Return of the King,6,,,,,,,New Line Cinema
3019,8,22,Reach Isengard,The Return of the King,6,,,,,,,New Line Cinema
3019,8,23,Travelling northward from Isengard,The Return of the King,6,,,,,,,New Line Cinema
3019,9,6,Staying in sight of the Misty Mountains,The Return of the King,6,,,,,,,New Line Cinema
3019,9,13,Travelling to Rivendell,The Return of the King,6,,,,,,,New Line Cinema
3019,9,21,Reach Rivendell,The Return of the King,6,,,,,,,New Line Cinema
3019,10,5,Leave Rivendell,The Return of the King,6,,,,,,,New Line Cinema
3019,10,6,Ford of Bruinen,The Return of the King,6,,,,,,,New Line Cinema
3019,10,28,Reach Bree,The Return of the King,6,,,,,,,New Line Cinema
3019,10,30,"Leave Bree, reach Brandywine Bridge",The Return of the King,6,,,,,,,New Line Cinema
3019,11,1,Arrested at Frogmorton,The Return of the King,6,,,,,,,New Line Cinema
3019,11,2,"Reach Bywater, rouse Shire-folk",The Return of the King,6,,,,,,,New Line Cinema
3019,11,3,"Battle of Bywater, end of third age",The Return of the King,6,,,,,,,New Line Cinema
3019,11,4,Frodo living in Hobbiton,The Return of the King,6,,,,,,,New Line Cinema
3021,9,22,Travelling from Hobbiton to Grey Havens,The Return of the King,6,,,,,6caCfb9Hg5NlUfXg9nRSnm,,New Line Cinema
3021,9,29,Grey Havens,The Return of the King,6,,,,,6caCfb9Hg5NlUfXg9nRSnm,,New Line Cinema
