ta_year,month,day,description
3019,2,29,Merry and Pippin escape into Fangorn Forest and encounter Treebeard. Éomer and the Rohirrim assault the Orc camp at sunrise and decimate them. Frodo and Sam descend from the Emyn Muil and meet Gollum. Faramir sees the funeral boat of his brother Boromir passing down the Anduin.
3019,2,30,"The Entmoot commences, and Éomer encounters Aragorn while returning to Edoras."
3019,3,1,"Frodo, Sam, and Gollum begin the passage of the Dead Marshes at sunrise. In Fangorn Forest, the Entmoot continues, the Three Hunters encounter Gandalf the White; they ride for Edoras. Faramir departs Minas Tirith on an errand to Ithilien."
3019,3,2,"Frodo, Sam, and Gollum reach the other side of the Dead Marshes. Gandalf, comes to Edoras and heals Théoden. Aragorn, Legolas, and Gimli ride with Théoden and the Rohirrim west to face Saruman. Erkenbrand is defeated in the Second Battle of the Fords of Isen. The Entmoot concludes in the afternoon, and the Ents march to Isengard, reaching it after sunset."
3019,3,3,"Théoden and his forces retrest to Helm’s Deep, and the Battle of the Hornburg begins at night. The Ents finish the destruction of Isengard."
3019,3,4,"Frodo, Sam, and Gollum reach the slag-mounds at the bounds of the Desolation of the Morannon. Théoden and Gandalf ride from Helm’s Deep toward Isengard."
3019,3,5,"Frodo, Sam, and Gollum hide in sight of the Morannon, and depart at sunset. Théoden and Gandalf arrive at Isengard at midday, and parley with Saruman in Orthanc. At night, Pippin gazes into the palantír of Orthanc, the winged Nazgûl flies over their camp at Dol Baran, and Gandalf rides with Pippin for Minas Tirith."
3019,3,6,"Aragorn is overtaken by the Dúnedain before sunrise. Théoden rides from the Hornburg towards Harrowdale, and Aragorn, Legolas, and Gimli leave later with the Dúnedain."
3019,3,7,"Frodo, Sam, and Gollum are taken by Faramir to Henneth Annûn. Aragorn and the Dúnedain reach Dunharrow at sunset."
3019,3,8,"Frodo, Sam, and Gollum head east from Henneth Annûn. Aragorn and the Dúnedain take the ‘Paths of the Dead’ at dawn, and reach Erech at midnight."
3019,3,9,"Gandalf and Pippin arrive at Minas Tirith. Faramir departs Henneth Annûn. Aragorn and the Dúnedain travels from Erech to Calembel. Frodo, Sam, and Gollum, reach the Morgul-road at sunset. Théoden reaches Dunharrow. Darkness begins to pour out from Mordor."
3019,3,10,"The darkness of Mordor causes the Dawnless Day. Frodo, Sam, and Gollum pass the Cross-roads, and spy the Morgul-host setting forth. An army from the Morannon captures Cair Andros and movies into Anórien. The Muster of Rohan takes place, and the Rohirrim ride forth from Harrowdale. Faramir, retreating from Osgiliath, is rescued by Gandalf before the Gates of Minas Tirith. Aragorn and the Dúnedain cross the river Ringló."
3019,3,11,"Gollum visits Shelob, but nearly repents upon seeing Frodo asleep. Denethor sends Faramir to retake Osgiliath. Aragorn and the Dúnedain reache Linhir and cross into Lebennin. Eastern Rohan is invaded from the north, and the First assault on Lórien is made."
3019,3,12,"Gollum leads Frodo and Sam into Shelob’s lair. Faramir retreats to the Causeway Forts. Aragorn and the Dúnedain, aided by the Army of the Dead, drive the enemy towards Pelargir. Théoden and the Rohirrim camp under Minrimmon, and the Ents defeat the invaders of eastern Rohan."
3019,3,13,"Frodo is captured by Orcs and taken to Cirith Ungol. The Pelennor is overrun, and Faramir is wounded. Aragorn and the Dúnedain reach Pelargir and capture the Corsair fleet. Théoden and the Rohirrim are led through Drúadan Forest by the Drúedain."
3019,3,14,
3019,3,15,
3019,3,16,
3019,3,17,
3019,3,18,
3019,3,19,
3019,3,22,
3019,3,23,
3019,3,24,
3019,3,25,
